loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1292,BW-3292,VA,2024-04-22,2054-04-22,349759,321876,5.577,360,NY,Purchase,A,5+ years,$50k-$100k,Current,0,Apex Servicing,2026-08-09,2026-08-27,,OriginationSystem
LN-1293,BW-3293,Fixed,2020-09-12,2050-09-12,278201,242870,6.374,360,FL,DebtConsolidation,A,3-5 years,$150k+,Late (60-89 days),7,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1294,BW-3294,FHA,2021-04-12,2051-04-12,409540,222880,4.842,360,IL,Refinance,D,< 1 year,$100k-$150k,Grace Period,2,Apex Servicing,2026-08-25,2026-08-27,,OriginationSystem
LN-1295,BW-3295,Fixed,2022-12-21,2052-12-21,300471,272514,6.683,360,MI,DebtConsolidation,D,< 1 year,$100k-$150k,Grace Period,7,Summit Mortgage,2026-08-27,2026-08-27,,OriginationSystem
LN-1296,BW-3296,ARM,2023-11-04,2053-11-04,241413,168199,6.325,360,TX,Purchase,C,1-3 years,$0-$50k,Late (30-59 days),19,Apex Servicing,2026-08-18,2026-08-27,,OriginationSystem
LN-1297,BW-3297,FHA,2021-01-27,2051-01-27,104774,76878,4.633,360,IL,Refinance,E,5+ years,$150k+,Grace Period,30,Summit Mortgage,2026-08-27,2026-08-27,,OriginationSystem
LN-1298,BW-3298,Fixed,2020-06-05,2050-06-05,370107,204677,6.151,360,IL,Refinance,E,3-5 years,$150k+,Grace Period,39,Apex Servicing,2026-08-07,2026-08-27,,OriginationSystem
LN-1299,BW-3299,FHA,2020-10-11,2050-10-11,140784,133671,6.434,360,PA,Refinance,A,5+ years,$0-$50k,Current,0,Summit Mortgage,2026-08-15,2026-08-27,,OriginationSystem
LN-1300,BW-3300,VA,2023-09-12,2038-09-12,145293,120597,6.244,180,IL,Purchase,C,3-5 years,$100k-$150k,Late (60-89 days),15,Apex Servicing,2026-08-16,2026-08-27,,OriginationSystem
LN-1301,BW-3301,Fixed,2021-09-27,2036-09-27,218434,185728,9.468,180,GA,Refinance,F,1-3 years,$0-$50k,Current,0,Summit Mortgage,2026-08-22,2026-08-27,,OriginationSystem
LN-1302,BW-3302,FHA,2023-08-11,2053-08-11,479835,373540,7.977,360,TX,DebtConsolidation,E,3-5 years,$50k-$100k,Grace Period,33,Apex Servicing,2026-08-12,2026-08-27,,OriginationSystem
LN-1303,BW-3303,FHA,2021-06-20,2051-06-20,165166,115672,6.396,360,PA,DebtConsolidation,F,5+ years,$100k-$150k,Current,0,Summit Mortgage,2026-08-02,2026-08-27,,OriginationSystem
LN-1304,BW-3304,Fixed,2021-04-03,2051-04-03,382157,299078,4.154,360,NC,Refinance,A,1-3 years,$0-$50k,Late (60-89 days),8,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1305,BW-3305,Fixed,2020-08-25,2050-08-25,136071,106276,7.331,360,OH,Purchase,HR,5+ years,$100k-$150k,Late (30-59 days),11,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1306,BW-3306,ARM,2020-02-10,2050-02-10,192687,136918,7.567,360,IL,DebtConsolidation,HR,5+ years,$50k-$100k,Late (30-59 days),33,Apex Servicing,2026-08-14,2026-08-27,,OriginationSystem
LN-1307,BW-3307,FHA,2020-06-19,2050-06-19,328567,264895,4.557,360,PA,Purchase,HR,1-3 years,$50k-$100k,Current,0,Summit Mortgage,2026-08-06,2026-08-27,,OriginationSystem
LN-1308,BW-3308,ARM,2024-02-12,2054-02-12,404049,400535,7.093,360,OH,DebtConsolidation,HR,5+ years,$0-$50k,Current,0,Apex Servicing,2026-08-27,2026-08-27,,OriginationSystem
LN-1309,BW-3309,ARM,2021-09-02,2051-09-02,233565,196619,8.962,360,MI,Purchase,HR,3-5 years,$150k+,Current,0,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1310,BW-3310,VA,2020-03-01,2050-03-01,338353,229907,7.103,360,NY,Purchase,C,3-5 years,$0-$50k,Late (60-89 days),29,Apex Servicing,2026-08-18,2026-08-27,,OriginationSystem
LN-1311,BW-3311,ARM,2020-04-04,2050-04-04,185902,106104,7.663,360,MI,Purchase,D,< 1 year,$100k-$150k,Late (30-59 days),31,Summit Mortgage,2026-08-19,2026-08-27,,OriginationSystem
LN-1312,BW-3312,Fixed,2021-02-02,2051-02-02,101354,81324,8.595,360,IL,Purchase,E,< 1 year,$50k-$100k,Grace Period,0,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1313,BW-3313,VA,2021-10-24,2051-10-24,378566,260309,4.051,360,OH,Purchase,B,1-3 years,$50k-$100k,Current,0,Summit Mortgage,2026-08-06,2026-08-27,,OriginationSystem
LN-1314,BW-3314,FHA,2021-10-21,2051-10-21,188191,146909,4.969,360,PA,DebtConsolidation,HR,< 1 year,$0-$50k,Grace Period,6,Apex Servicing,2026-08-01,2026-08-27,,OriginationSystem
LN-1315,BW-3315,Fixed,2024-01-09,2054-01-09,335244,264123,3.506,360,CA,Refinance,D,< 1 year,$50k-$100k,Current,0,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1316,BW-3316,VA,2023-11-23,2053-11-23,343132,195507,9.431,360,PA,Refinance,C,1-3 years,$100k-$150k,Grace Period,10,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1317,BW-3317,VA,2022-10-06,2052-10-06,100070,94044,4.906,360,NC,DebtConsolidation,A,1-3 years,$0-$50k,Late (60-89 days),20,Summit Mortgage,2026-08-06,2026-08-27,,OriginationSystem
LN-1318,BW-3318,VA,2024-12-03,2039-12-03,197829,138326,8.202,180,MI,Refinance,E,< 1 year,$0-$50k,Late (30-59 days),32,Apex Servicing,2026-08-08,2026-08-27,,OriginationSystem
LN-1319,BW-3319,VA,2020-02-02,2035-02-02,110528,92230,6.808,180,GA,Refinance,A,3-5 years,$100k-$150k,Late (30-59 days),40,Summit Mortgage,2026-08-05,2026-08-27,,OriginationSystem
LN-1320,BW-3320,Fixed,2023-03-23,2053-03-23,495539,337535,4.937,360,PA,Refinance,B,1-3 years,$50k-$100k,Current,0,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1321,BW-3321,Fixed,2020-01-16,2050-01-16,161950,107296,6.667,360,PA,DebtConsolidation,C,3-5 years,$150k+,Late (30-59 days),7,Summit Mortgage,2026-08-14,2026-08-27,,OriginationSystem
LN-1322,BW-3322,ARM,2023-12-24,2053-12-24,170718,96144,7.639,360,FL,Refinance,F,3-5 years,$100k-$150k,Late (30-59 days),5,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1323,BW-3323,FHA,2021-09-03,2036-09-03,186208,161186,3.819,180,MI,Refinance,E,< 1 year,$150k+,Late (30-59 days),26,Summit Mortgage,2026-07-31,2026-08-27,,OriginationSystem
LN-1324,BW-3324,Fixed,2024-02-10,2054-02-10,475249,355180,3.963,360,GA,Refinance,D,5+ years,$150k+,Late (30-59 days),25,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1325,BW-3325,VA,2021-12-02,2051-12-02,231385,215938,5.675,360,OH,Refinance,C,< 1 year,$150k+,Grace Period,32,Summit Mortgage,2026-08-19,2026-08-27,,OriginationSystem
LN-1326,BW-3326,VA,2023-03-18,2053-03-18,110209,58558,5.435,360,CA,Purchase,C,3-5 years,$50k-$100k,Current,0,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1327,BW-3327,FHA,2022-11-24,2037-11-24,102290,88738,6.544,180,NY,Purchase,C,5+ years,$100k-$150k,Grace Period,17,Summit Mortgage,2026-08-04,2026-08-27,,OriginationSystem
LN-1328,BW-3328,VA,2024-03-15,2054-03-15,105299,58384,7.942,360,OH,DebtConsolidation,C,1-3 years,$0-$50k,Late (30-59 days),24,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1329,BW-3329,VA,2024-05-04,2054-05-04,485239,287118,5.640,360,CA,Refinance,F,< 1 year,$150k+,Late (30-59 days),36,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1330,BW-3330,ARM,2023-06-18,2053-06-18,254949,158141,7.345,360,CA,Purchase,HR,1-3 years,$0-$50k,Late (60-89 days),14,Apex Servicing,2026-08-01,2026-08-27,,OriginationSystem
LN-1331,BW-3331,VA,2024-10-05,2054-10-05,456503,285938,4.937,360,GA,Refinance,E,5+ years,$0-$50k,Late (60-89 days),27,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1332,BW-3332,ARM,2020-11-19,2050-11-19,313348,276085,5.043,360,PA,Purchase,HR,3-5 years,$100k-$150k,Late (30-59 days),40,Apex Servicing,2026-08-18,2026-08-27,,OriginationSystem
LN-1333,BW-3333,Fixed,2022-12-21,2052-12-21,124772,102848,6.143,360,MI,DebtConsolidation,D,5+ years,$150k+,Current,0,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1334,BW-3334,Fixed,2021-05-03,2051-05-03,453416,398100,7.233,360,NC,Refinance,HR,3-5 years,$50k-$100k,Late (60-89 days),25,Apex Servicing,2026-08-03,2026-08-27,,OriginationSystem
LN-1335,BW-3335,VA,2022-10-07,2052-10-07,232332,225053,6.881,360,MI,Refinance,B,5+ years,$100k-$150k,Current,0,Summit Mortgage,2026-08-19,2026-08-27,,OriginationSystem
LN-1336,BW-3336,Fixed,2023-02-15,2053-02-15,394687,254794,5.859,360,IL,Purchase,A,3-5 years,$150k+,Current,0,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1337,BW-3337,ARM,2023-04-27,2053-04-27,152898,88800,6.143,360,NY,Purchase,D,1-3 years,$100k-$150k,Late (30-59 days),4,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1338,BW-3338,ARM,2023-06-23,2038-06-23,121416,94305,8.975,180,NC,Purchase,D,5+ years,$150k+,Late (30-59 days),12,Apex Servicing,2026-08-09,2026-08-27,,OriginationSystem
LN-1339,BW-3339,ARM,2020-08-17,2035-08-17,340570,181730,5.517,180,OH,Purchase,HR,1-3 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1340,BW-3340,VA,2024-07-24,2039-07-24,103438,63076,7.754,180,MI,Purchase,F,3-5 years,$0-$50k,Late (60-89 days),16,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1341,BW-3341,FHA,2021-12-12,2036-12-12,282628,206633,7.596,180,GA,DebtConsolidation,A,3-5 years,$100k-$150k,Late (60-89 days),10,Summit Mortgage,2026-08-22,2026-08-27,,OriginationSystem
LN-1342,BW-3342,Fixed,2024-09-18,2054-09-18,431248,419643,6.088,360,NC,Refinance,F,3-5 years,$0-$50k,Late (60-89 days),36,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1343,BW-3343,ARM,2021-01-15,2051-01-15,161299,87661,3.877,360,PA,Refinance,D,< 1 year,$50k-$100k,Late (30-59 days),42,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1344,BW-3344,Fixed,2023-08-26,2053-08-26,291545,177555,5.051,360,CA,DebtConsolidation,C,1-3 years,$100k-$150k,Current,0,Apex Servicing,2026-08-09,2026-08-27,,OriginationSystem
LN-1345,BW-3345,FHA,2020-08-12,2050-08-12,241512,236347,7.330,360,OH,Refinance,B,< 1 year,$150k+,Late (30-59 days),33,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1346,BW-3346,Fixed,2022-02-02,2052-02-02,254476,138175,8.966,360,IL,DebtConsolidation,E,< 1 year,$150k+,Grace Period,20,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1347,BW-3347,ARM,2022-01-05,2037-01-05,440241,414957,8.402,180,TX,Purchase,D,1-3 years,$0-$50k,Grace Period,4,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1348,BW-3348,Fixed,2024-01-11,2054-01-11,172966,158132,3.650,360,GA,DebtConsolidation,B,3-5 years,$100k-$150k,Current,0,Apex Servicing,2026-08-18,2026-08-27,,OriginationSystem
LN-1349,BW-3349,FHA,2022-03-17,2052-03-17,440729,372335,3.861,360,NC,DebtConsolidation,B,1-3 years,$150k+,Late (60-89 days),14,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1350,BW-3350,Fixed,2021-09-21,2051-09-21,297749,164337,4.508,360,GA,Refinance,HR,3-5 years,$100k-$150k,Grace Period,31,Apex Servicing,2026-08-12,2026-08-27,,OriginationSystem
LN-1351,BW-3351,ARM,2020-05-13,2035-05-13,391096,365886,4.692,180,NC,DebtConsolidation,F,5+ years,$150k+,Grace Period,17,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1352,BW-3352,VA,2021-10-19,2051-10-19,169422,137715,5.002,360,CA,DebtConsolidation,A,5+ years,$0-$50k,Late (30-59 days),25,Apex Servicing,2026-08-08,2026-08-27,,OriginationSystem
LN-1353,BW-3353,VA,2023-10-20,2053-10-20,222847,199388,5.709,360,NY,Refinance,B,3-5 years,$100k-$150k,Late (60-89 days),22,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1354,BW-3354,Fixed,2020-09-27,2035-09-27,187966,178338,5.992,180,NC,DebtConsolidation,B,1-3 years,$50k-$100k,Late (30-59 days),7,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1355,BW-3355,ARM,2024-02-05,2039-02-05,459229,266342,7.823,180,OH,Refinance,F,3-5 years,$0-$50k,Grace Period,42,Summit Mortgage,2026-08-19,2026-08-27,,OriginationSystem
LN-1356,BW-3356,Fixed,2021-05-15,2051-05-15,132223,120028,8.692,360,IL,Purchase,D,3-5 years,$150k+,Grace Period,27,Apex Servicing,2026-07-31,2026-08-27,,OriginationSystem
LN-1357,BW-3357,Fixed,2023-03-18,2053-03-18,426900,409628,3.985,360,MI,Refinance,B,5+ years,$100k-$150k,Grace Period,24,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1358,BW-3358,VA,2022-02-19,2052-02-19,217140,205082,5.145,360,IL,DebtConsolidation,E,3-5 years,$100k-$150k,Late (60-89 days),28,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1359,BW-3359,VA,2021-07-12,2051-07-12,295989,206597,4.120,360,CA,Refinance,D,1-3 years,$100k-$150k,Late (30-59 days),13,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1360,BW-3360,FHA,2021-02-11,2051-02-11,238704,138283,5.961,360,TX,Refinance,A,1-3 years,$0-$50k,Late (30-59 days),0,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1361,BW-3361,VA,2024-02-20,2039-02-20,294698,212057,4.350,180,GA,Purchase,B,3-5 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1362,BW-3362,Fixed,2024-04-07,2054-04-07,260683,243535,4.508,360,PA,DebtConsolidation,D,1-3 years,$50k-$100k,Late (30-59 days),29,Apex Servicing,2026-08-02,2026-08-27,,OriginationSystem
LN-1363,BW-3363,FHA,2022-06-25,2052-06-25,425398,261653,8.804,360,TX,Purchase,HR,< 1 year,$150k+,Late (30-59 days),24,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1364,BW-3364,Fixed,2020-01-06,2050-01-06,254998,144279,4.189,360,MI,Purchase,F,< 1 year,$150k+,Late (60-89 days),31,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1365,BW-3365,VA,2023-10-02,2053-10-02,282312,195181,5.490,360,IL,Refinance,B,1-3 years,$150k+,Late (30-59 days),28,Summit Mortgage,2026-08-06,2026-08-27,,OriginationSystem
LN-1366,BW-3366,FHA,2022-06-26,2052-06-26,375737,247332,8.096,360,GA,DebtConsolidation,B,1-3 years,$0-$50k,Grace Period,2,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1367,BW-3367,ARM,2022-01-20,2052-01-20,219525,118999,6.596,360,GA,Purchase,C,< 1 year,$100k-$150k,Grace Period,15,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1368,BW-3368,ARM,2023-02-03,2053-02-03,241393,201817,6.712,360,GA,DebtConsolidation,F,1-3 years,$100k-$150k,Late (60-89 days),26,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1369,BW-3369,VA,2022-03-14,2037-03-14,243829,230043,6.035,180,MI,Refinance,D,1-3 years,$100k-$150k,Grace Period,8,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1370,BW-3370,VA,2021-07-16,2051-07-16,375821,252177,8.194,360,NY,Refinance,D,1-3 years,$50k-$100k,Late (30-59 days),41,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1371,BW-3371,FHA,2021-09-24,2051-09-24,119532,69926,3.837,360,CA,DebtConsolidation,D,1-3 years,$150k+,Late (60-89 days),13,Summit Mortgage,2026-08-13,2026-08-27,,OriginationSystem
LN-1372,BW-3372,VA,2024-05-11,2054-05-11,406292,395453,7.597,360,OH,DebtConsolidation,F,5+ years,$100k-$150k,Late (60-89 days),21,Apex Servicing,2026-08-14,2026-08-27,,OriginationSystem
LN-1373,BW-3373,FHA,2023-05-03,2053-05-03,110018,71321,8.161,360,FL,Purchase,B,3-5 years,$150k+,Late (30-59 days),11,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1374,BW-3374,Fixed,2020-11-05,2035-11-05,177427,137640,8.746,180,OH,DebtConsolidation,E,< 1 year,$150k+,Current,0,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1375,BW-3375,Fixed,2021-06-01,2051-06-01,459833,334861,9.264,360,TX,Refinance,F,< 1 year,$150k+,Late (60-89 days),10,Summit Mortgage,2026-08-22,2026-08-27,,OriginationSystem
LN-1376,BW-3376,VA,2021-09-24,2051-09-24,213090,205618,5.803,360,NC,Purchase,HR,1-3 years,$150k+,Late (60-89 days),32,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1377,BW-3377,ARM,2022-03-06,2052-03-06,321134,277757,8.314,360,OH,DebtConsolidation,F,3-5 years,$50k-$100k,Grace Period,30,Summit Mortgage,2026-07-31,2026-08-27,,OriginationSystem
LN-1378,BW-3378,ARM,2024-10-20,2054-10-20,162072,145804,8.480,360,NC,DebtConsolidation,A,1-3 years,$100k-$150k,Late (30-59 days),17,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1379,BW-3379,VA,2021-06-30,2036-06-30,169139,140881,8.772,180,MI,Refinance,A,5+ years,$100k-$150k,Grace Period,7,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1380,BW-3380,Fixed,2020-06-09,2050-06-09,139480,106735,4.187,360,MI,Refinance,B,< 1 year,$50k-$100k,Current,0,Apex Servicing,2026-08-08,2026-08-27,,OriginationSystem
LN-1381,BW-3381,FHA,2021-03-21,2051-03-21,340374,249542,3.617,360,FL,DebtConsolidation,F,< 1 year,$100k-$150k,Late (60-89 days),37,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1382,BW-3382,Fixed,2020-01-09,2050-01-09,230101,137412,5.789,360,NC,Purchase,HR,5+ years,$100k-$150k,Grace Period,35,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1383,BW-3383,Fixed,2022-07-08,2052-07-08,225876,185454,7.550,360,OH,Purchase,F,1-3 years,$100k-$150k,Grace Period,1,Summit Mortgage,2026-08-26,2026-08-27,,OriginationSystem
LN-1384,BW-3384,VA,2022-11-05,2052-11-05,219423,120791,6.066,360,IL,Purchase,A,3-5 years,$100k-$150k,Late (30-59 days),41,Apex Servicing,2026-08-26,2026-08-27,,OriginationSystem
LN-1385,BW-3385,FHA,2022-10-21,2037-10-21,245670,169303,6.009,180,GA,Refinance,E,< 1 year,$50k-$100k,Current,0,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1386,BW-3386,ARM,2020-08-19,2050-08-19,451549,343490,3.945,360,CA,Refinance,E,5+ years,$0-$50k,Late (30-59 days),35,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1387,BW-3387,ARM,2020-01-13,2050-01-13,314249,193399,7.183,360,GA,DebtConsolidation,C,< 1 year,$150k+,Late (60-89 days),13,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1388,BW-3388,FHA,2023-10-06,2053-10-06,444433,377089,6.507,360,TX,Refinance,F,1-3 years,$50k-$100k,Late (60-89 days),26,Apex Servicing,2026-08-19,2026-08-27,,OriginationSystem
LN-1389,BW-3389,ARM,2020-04-25,2050-04-25,210775,186166,7.422,360,OH,DebtConsolidation,A,3-5 years,$0-$50k,Grace Period,14,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1390,BW-3390,FHA,2020-07-25,2050-07-25,292078,199681,7.774,360,NY,DebtConsolidation,A,5+ years,$150k+,Late (30-59 days),14,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1391,BW-3391,VA,2022-11-11,2052-11-11,276534,266962,4.580,360,PA,DebtConsolidation,D,3-5 years,$150k+,Current,0,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1392,BW-3392,VA,2020-05-06,2050-05-06,334466,277341,7.890,360,FL,Refinance,E,3-5 years,$150k+,Late (30-59 days),9,Apex Servicing,2026-08-19,2026-08-27,,OriginationSystem
LN-1393,BW-3393,VA,2021-05-15,2051-05-15,217953,129165,7.425,360,FL,DebtConsolidation,E,5+ years,$100k-$150k,Current,0,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1394,BW-3394,Fixed,2023-12-31,2053-12-31,127533,107562,8.404,360,MI,DebtConsolidation,HR,3-5 years,$100k-$150k,Grace Period,19,Apex Servicing,2026-08-22,2026-08-27,,OriginationSystem
LN-1395,BW-3395,Fixed,2022-10-14,2052-10-14,249335,152049,9.345,360,OH,DebtConsolidation,B,5+ years,$150k+,Late (60-89 days),35,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1396,BW-3396,ARM,2023-11-18,2053-11-18,497468,337797,7.928,360,TX,DebtConsolidation,HR,< 1 year,$100k-$150k,Current,0,Apex Servicing,2026-08-25,2026-08-27,,OriginationSystem
LN-1397,BW-3397,Fixed,2022-06-26,2037-06-26,396522,302328,8.458,180,MI,Refinance,F,5+ years,$0-$50k,Late (30-59 days),16,Summit Mortgage,2026-08-13,2026-08-27,,OriginationSystem
LN-1398,BW-3398,FHA,2022-07-16,2037-07-16,325497,316531,6.091,180,OH,Purchase,HR,3-5 years,$0-$50k,Late (60-89 days),20,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1399,BW-3399,Fixed,2020-11-19,2050-11-19,465105,237954,7.860,360,TX,Purchase,A,< 1 year,$0-$50k,Late (30-59 days),31,Summit Mortgage,2026-08-13,2026-08-27,,OriginationSystem
LN-1400,BW-3400,ARM,2022-06-06,2052-06-06,163491,120481,4.735,360,FL,Purchase,F,< 1 year,$0-$50k,Late (60-89 days),39,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1401,BW-3401,VA,2020-06-10,2035-06-10,198508,127849,7.765,180,GA,DebtConsolidation,E,5+ years,$50k-$100k,Current,0,Summit Mortgage,2026-08-10,2026-08-27,,OriginationSystem
LN-1402,BW-3402,FHA,2023-01-12,2053-01-12,226533,175545,7.002,360,TX,Refinance,F,5+ years,$50k-$100k,Grace Period,36,Apex Servicing,2026-08-26,2026-08-27,,OriginationSystem
LN-1403,BW-3403,Fixed,2021-09-25,2051-09-25,335832,304899,4.795,360,CA,DebtConsolidation,HR,< 1 year,$100k-$150k,Late (60-89 days),15,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1404,BW-3404,ARM,2023-09-27,2038-09-27,423955,384578,3.875,180,FL,Purchase,E,5+ years,$0-$50k,Grace Period,42,Apex Servicing,2026-08-26,2026-08-27,,OriginationSystem
LN-1405,BW-3405,FHA,2022-01-14,2052-01-14,417729,398044,6.823,360,GA,DebtConsolidation,A,< 1 year,$100k-$150k,Late (60-89 days),14,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1406,BW-3406,VA,2020-01-27,2050-01-27,340416,253403,5.016,360,TX,Purchase,A,1-3 years,$150k+,Late (60-89 days),35,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1407,BW-3407,ARM,2023-06-10,2038-06-10,101298,72049,6.277,180,IL,DebtConsolidation,HR,3-5 years,$50k-$100k,Current,0,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1408,BW-3408,ARM,2023-12-19,2038-12-19,461722,397767,4.735,180,MI,Purchase,C,3-5 years,$150k+,Late (30-59 days),11,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1409,BW-3409,VA,2021-05-22,2051-05-22,152620,136108,6.240,360,NY,Refinance,A,3-5 years,$0-$50k,Grace Period,33,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1410,BW-3410,VA,2021-01-22,2051-01-22,272255,138273,7.062,360,GA,Refinance,HR,3-5 years,$100k-$150k,Late (60-89 days),28,Apex Servicing,2026-08-07,2026-08-27,,OriginationSystem
LN-1411,BW-3411,VA,2020-06-02,2050-06-02,447748,224824,8.182,360,TX,DebtConsolidation,C,1-3 years,$150k+,Late (30-59 days),23,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1412,BW-3412,VA,2022-01-23,2052-01-23,474047,408227,6.336,360,CA,Refinance,A,3-5 years,$100k-$150k,Grace Period,12,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1413,BW-3413,FHA,2024-01-18,2054-01-18,206707,164210,9.154,360,NY,Purchase,B,1-3 years,$50k-$100k,Late (60-89 days),19,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1414,BW-3414,VA,2024-05-11,2054-05-11,363466,322903,7.649,360,OH,Refinance,E,5+ years,$0-$50k,Late (30-59 days),44,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1415,BW-3415,ARM,2023-07-15,2053-07-15,266437,240180,3.705,360,OH,Refinance,B,< 1 year,$0-$50k,Late (30-59 days),42,Summit Mortgage,2026-08-20,2026-08-27,,OriginationSystem
LN-1416,BW-3416,Fixed,2022-12-11,2052-12-11,483702,377989,4.234,360,FL,Refinance,HR,< 1 year,$150k+,Current,0,Apex Servicing,2026-08-16,2026-08-27,,OriginationSystem
LN-1417,BW-3417,VA,2020-02-03,2035-02-03,498066,491491,5.343,180,CA,Refinance,C,5+ years,$100k-$150k,Late (60-89 days),5,Summit Mortgage,2026-08-15,2026-08-27,,OriginationSystem
LN-1418,BW-3418,Fixed,2021-11-25,2051-11-25,163350,156423,5.140,360,NC,DebtConsolidation,A,< 1 year,$0-$50k,Current,0,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1419,BW-3419,Fixed,2024-01-12,2054-01-12,433465,267224,3.837,360,OH,Refinance,C,3-5 years,$0-$50k,Late (30-59 days),0,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1420,BW-3420,VA,2024-09-30,2039-09-30,119012,80018,5.272,180,IL,Purchase,A,< 1 year,$100k-$150k,Current,0,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1421,BW-3421,VA,2022-06-21,2052-06-21,383369,373102,4.633,360,IL,Purchase,B,3-5 years,$150k+,Late (30-59 days),20,Summit Mortgage,2026-08-15,2026-08-27,,OriginationSystem
